# 搜索用：同一個字的各種字形。scripts/make_glyph_sets.py 生成，勿手改。
# 一行一個字：字頭 ⇥ 它可以是的所有字形（字頭自己也在裏面）。
# ⚠️ 不對稱是**有意的**：class(发)=发發髮，而 class(發)=發发。含混的放寬，
#   精確的保持精確。改成傳遞閉包就毀了它——理由在生成腳本的檔頭。
㐷	㐷傌
㐹	㐹㑶
㐽	㐽偑
㑇	㑇㑳
㑈	㑈倲
㑔	㑔㑯
㑩	㑩儸
㑮	㑮𫝈
㑯	㑯㑔
㑳	㑳㑇
㑶	㑶㐹
㒓	㒓𠉂
㓄	㓄𪠟
㓆	㓆𠗣
㓥	㓥劏
㓨	㓨刾
㓰	㓰划劃
㔉	㔉劚
㔋	㔋𪟎
㖊	㖊噚
㖞	㖞喎
㖮	㖮𪠵
㗲	㗲𠵾
㗿	㗿𪡛
㘉	㘉𠰱
㘎	㘎㘚
㘓	㘓𪢌
㘔	㘔𫬐
㘚	㘚㘎
㚯	㚯㜄
㛀	㛀媰
㛆	㛆㛊
㛊	㛊㛆
㛝	㛝𫝦
㛟	㛟𡞵
㛠	㛠𡢃
㛣	㛣㜏
㛤	㛤孋
㛿	㛿𡠹
㜄	㜄㚯
㜏	㜏㛣
㜐	㜐𫝧
㜗	㜗𡞋
㜢	㜢𡞱
㜷	㜷𡝠
㞞	㞞𪨊
㟆	㟆㠏
㟜	㟜𡾱
㟥	㟥嵾
㟺	㟺𪩇
㠏	㠏㟆
㠣	㠣𫵷
㡎	㡎幓
㢗	㢗𪪑
㢝	㢝𢋈
㤘	㤘㥮
㤽	㤽懤
㥪	㥪慺
㥮	㥮㤘
㦎	㦎𢛯
㦛	㦛𢗓
㦞	㦞𪫷
㧏	㧏掆
㧐	㧐㩳
㧑	㧑撝
㧟	㧟擓
㧰	㧰擽
㨫	㨫㩜
㨻	㨻𪮃
㩋	㩋𪮋
㩜	㩜㨫
㩳	㩳㧐
㩵	㩵擜
㪎	㪎𪯋
㭎	㭎棡
㭏	㭏椲
㭣	㭣𣙎
㭤	㭤樢
㭴	㭴樫
㯤	㯤𣘐
㰙	㰙𣗙
㱩	㱩殰
㱮	㱮殨
㲿	㲿瀇
㳔	㳔濧
㳕	㳕灡
㳠	㳠澾
㳡	㳡濄
㳢	㳢𣾷
㳽	㳽弥瀰
㴋	㴋潚
㵗	㵗𣳆
㵾	㵾𪷍
㶆	㶆𫞛
㶉	㶉鸂
㶶	㶶燶
㶽	㶽煱
㷍	㷍𤆢
㷿	㷿𤈷
㸇	㸇𤎺
㹽	㹽𫞣
㺍	㺍獱
㺏	㺏𤠋
㺜	㺜𪺻
㻅	㻅璯
㻏	㻏𤫩
㻘	㻘𤪺
㻶	㻶𪼋
㿖	㿖𪽮
㿗	㿗𤻊
㿧	㿧𤽯
䀉	䀉𥁢
䀥	䀥䁻
䀹	䀹𥅴
䁖	䁖瞜
䁪	䁪𥇢
䁻	䁻䀥
䂎	䂎𥎝
䂵	䂵碽
䃅	䃅磾
䃮	䃮鿎
䅉	䅉稏
䅐	䅐𫀨
䅟	䅟穇
䅪	䅪𥢢
䅳	䅳𫀬
䆉	䆉𫁂
䇲	䇲筴
䉑	䉑𫁲
䉙	䉙𥬀
䉤	䉤籔
䉬	䉬𫂈
䉲	䉲𥮜
䉶	䉶𫁷
䊭	䊭𥺅
䊷	䊷䌶
䊺	䊺𫄚
䋃	䋃𫄜
䋔	䋔𫄞
䋙	䋙䌺
䋚	䋚䌻
䋦	䋦𫄩
䋹	䋹䌿
䋻	䋻䌾
䋼	䋼𫄮
䋿	䋿𦈓
䌈	䌈𦈖
䌋	䌋𦈘
䌖	䌖𦈜
䌝	䌝𦈟
䌟	䌟𦈞
䌥	䌥𦈠
䌰	䌰𦈙
䌶	䌶䊷
䌷	䌷紬
䌸	䌸縳
䌹	䌹絅
䌺	䌺䋙
䌻	䌻䋚
䌼	䌼綐
䌽	䌽彩綵
䌾	䌾䋻
䌿	䌿䋹
䍀	䍀繿
䍁	䍁繸
䍠	䍠䍦
䍤	䍤𫅅
䍦	䍦䍠
䍽	䍽𦍠
䎙	䎙𫅭
䎬	䎬䎱
䎱	䎱䎬
䏝	䏝膞
䑽	䑽𦪙
䓓	䓓薵
䓕	䓕薳
䓖	䓖藭
䓣	䓣𬜯
䓨	䓨罃
䕤	䕤𫟕
䕳	䕳𦰴
䖅	䖅𫟑
䗅	䗅𫊪
䗖	䗖螮
䗿	䗿𧉞
䘛	䘛𧝞
䘞	䘞𧜗
䙊	䙊𧜵
䙌	䙌䙡
䙓	䙓摆襬
䙔	䙔𫋲
䙡	䙡䙌
䙱	䙱𧜭
䚩	䚩𫌯
䛄	䛄𫍠
䛳	䛳𫍫
䜀	䜀䜧
䜖	䜖𫟢
䜣	䜣欣訢
䜤	䜤鿁
䜥	䜥𧩙
䜧	䜧䜀
䜩	䜩讌
䝙	䝙貙
䝭	䝭𫎧
䝻	䝻𧹕
䝼	䝼䞍
䞈	䞈𧹑
䞋	䞋𫎪
䞌	䞌𧵳
䞍	䞍䝼
䞎	䞎𧶧
䞐	䞐賰
䞓	䞓𫎭
䟃	䟃𫎺
䟆	䟆𫎳
䟐	䟐𫎱
䟢	䟢躎
䠆	䠆𫏃
䠱	䠱𨅛
䡐	䡐𫟤
䡩	䡩𫟥
䡵	䡵𫟦
䢀	䢀𨊰
䢁	䢁𨊸
䢂	䢂𨋢
䢨	䢨𨑹
䤤	䤤𫟺
䤪	䤪𨦃
䥄	䥄𫠀
䥇	䥇䦂
䥑	䥑鿏
䥕	䥕𬭯
䥗	䥗𫔋
䥩	䥩𨱖
䥯	䥯𫔆
䥱	䥱䥾
䥺	䥺釾
䥽	䥽鏺
䥾	䥾䥱
䥿	䥿𨯅
䦀	䦀𨦫
䦁	䦁𨧜
䦂	䦂䥇
䦃	䦃鐯
䦅	䦅鐥
䦆	䦆钁镢
䦘	䦘𨸄
䦛	䦛䦶
䦟	䦟䦷
䦯	䦯𫔵
䦳	䦳𨷿
䦶	䦶䦛
䦷	䦷䦟
䧢	䧢𨸟
䩄	䩄腼靦
䪊	䪊𫖅
䪏	䪏𩏼
䪗	䪗𩐀
䪘	䪘𩏿
䪴	䪴𫖫
䪾	䪾𫖬
䫀	䫀𫖱
䫂	䫂𫖰
䫟	䫟𫖲
䫴	䫴𩖗
䫶	䫶𫖺
䫻	䫻𫗇
